result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
0	“big government” site:themoneytimes.com/reviews/20100109/court-questions-fcc-s-authority-net-neutrality-id-1096453.html	n/a	n/a	n/a	n/a		
1	“big government” site:pcworld.com/businesscenter/article/186499/court_questions_fcc_authority_to_impose_net_neutrality.html	n/a	n/a	n/a	n/a		
2	“big government” site:huffingtonpost.com/timothy-karr/att-consultant-conjures-e_b_417317.html	n/a	n/a	n/a	n/a		
3	“big government” site:en.wikipedia.org/wiki/Network_neutrality	n/a	n/a	n/a	n/a		
4	“big government” site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
5	“big government” site:savetheinternet.com	My Web Series Made Possible by Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/10/01/05/my-web-series-made-possible-net-neutrality	5 Jan 2010 ... To clarify, I am not a big government kind of gal. As an American citizen, I believe encouraging the entrepreneurial spirit and setting the ...  	15		
6	“big government” site:savetheinternet.com	Internet Freedom in the House | Save the Internet	http://www.savetheinternet.com/blog/09/07/31/internet-freedom-house	31 Jul 2009 ... this product of Chicago politics believes Big Government is the answer which means his agenda is predicated on absolute control over the ...  	15		
7	“big government” site:savetheinternet.com	Charlie H | Save the Internet	http://www.savetheinternet.com/story/29931	this is just another way for big government to control our daily lives. We all know the big media companies/Radio are all connected control by a few now ...  	15		
8	“big government” site:savetheinternet.com	Michael Del Camp | Save the Internet	http://www.savetheinternet.com/story/4440	What we are experiencing, is a corporate and big government "blow back" against the incredibly empowering, enabling, and communications enhancing aspects of ...  	15		
9	“big government” site:savetheinternet.com	Save the Internet | Join the fight for Internet Freedom	http://www.savetheinternet.com/node?page=2148	I have seen big government take over too much of our freedoms and sell them to big corporations in the quest for money to support more, ...  	15		
10	“big government” site:savetheinternet.com	Save the Internet | Join the fight for Internet Freedom	http://www.savetheinternet.com/node?page=2253	If big government or big corporation begin to regulate The Internet then we will loose much of the freedom that we find in the ethernet. ...  	15		
11	“big government” site:savetheinternet.com	Irene Willey | Save the Internet	http://www.savetheinternet.com/story/9772	The individual's rights to independent choice is increasingly threatened by Big Media,  Big Industry/Producers, Big Government and the Conservative Right. ...  	15		
12	“big government” site:savetheinternet.com	Aric Vander Werff | Save the Internet	http://www.savetheinternet.com/story/7554	Big government and large corporations do little to help the average citizen, and I think tend to hurt much more than they help. ...  	15		
13	“big government” site:savetheinternet.com	Tony Prokott | Save the Internet	http://www.savetheinternet.com/story/6633	Giving robber baron corporations a strangle hold on content regulation is no improvement on Big Government â¢ brand content regulation. ...  	15		
14	“big government” site:savetheinternet.com	Save the Internet	http://www.savetheinternet.com/stories/all?page=1380	Without it, we only learn what big government and big companies tell us, and most of what they have to say is wrong. Do your job and protect my right to ...  	15		
15	“big government” site:savetheinternet.com	Derek Wallace | Save the Internet	http://www.savetheinternet.com/story/2293	This isn't an issue of big government versus big business. It's an issue of human progress version willful regression to an information dark ages. ...  	15		
16	“big government” site:savetheinternet.com	Paula Adams | Save the Internet	http://www.savetheinternet.com/story/23615		15		
17	“big government” site:savetheinternet.com	Concerned Citizen | Save the Internet	http://www.savetheinternet.com/tag/concerned-citizen?page=140		15		
18	“big government” site:savetheinternet.com	Save the Internet	http://www.savetheinternet.com/stories/all?page=87	Allowing Corporate Companies to control media outlets is just as bad as allowing big government to control what the news is allowed and not allowed to say. ...  	15		
19	“big government” site:savetheinternet.com	Carlton Hackett | Save the Internet	http://www.savetheinternet.com/story/3943	Keep the Internet free from Big Government , and leave it to the people who cherish it the most: the everyday Citizen, or has the FCC forgotten who we are? ...  	15		
