result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
28	“big government” site:humanevents.com/article.php?id=33718	Big Business Goes Big for Health-Care Reform - HUMAN EVENTS	http://www.humanevents.com/article.php?id=33108	Observe: Although President Obama and big-government activists demonize health- insurance companies, the companies "are still mostly on board with the ...www.humanevents.com/article.php?id=33108 - Cached 	685		
29	“big government” site:humanevents.com/article.php?id=33718	Conservatism Was Not Defeated - HUMAN EVENTS	http://www.humanevents.com/article.php?id=17950	They see Republicans as the party of big government and are upset that GOP leaders didn't enact the fiscal discipline many in office originally stood for. ...  	685		
30	“big government” site:humanevents.com/article.php?id=33718	- HUMAN EVENTS	http://www.humanevents.com/article.php?id=1209	Some prominent conservatives warned that the GOP's acquiescence in, and in some cases active embrace of, big government could invite a backlash from the ...  	685		
31	“big government” site:humanevents.com/article.php?id=33718	- HUMAN EVENTS	http://www.humanevents.com/article.php?id=9100	Big Government Is Not a Goal, It Is a Tactic -- And Now It Is a Republican Tactic. by Mac Johnson. 09/16/2005. I used to believe that the Democrats sought ...  	685		
32	“big government” site:humanevents.com/article.php?id=33718	Author Interview: How Small Business's Can Survive Through ...	http://www.humanevents.com/article.php?id=34680	4 Dec 2009 ... I think a lot of big businesses were already pro-Democrat or at least pro- big government and now more are moving that way because the ...  	685		
33	“big government” site:humanevents.com/article.php?id=33718	Is The Era Of Small Government Over? - HUMAN EVENTS	http://www.humanevents.com/article.php?id=19911	President Ronald Reagan made Big Government the butt of his jokes. ... But is big government a winning strategy for Republicans? ...  	685		
34	“big government” site:humanevents.com/article.php?id=33718	- HUMAN EVENTS	http://www.humanevents.com/article.php?id=11919	26 Jan 2006 ...  Big government and corruption go hand in hand. Government has certainly grown bigger in recent years. Congress now spends $22000 per ...  	685		
35	“big government” site:humanevents.com/article.php?id=33718	Grading the Big Speech: A 10-Point Citizens' Checklist on Health ...	http://www.humanevents.com/article.php?id=33452	9 Sep 2009 ... For a  month, the polls  have gotten worse and worse for big spending, big deficit , high taxes, and big government. But on Labor Day, ...www.humanevents.com/article.php?id=33452 - Cached - Similar 	685		
36	“big government” site:humanevents.com/article.php?id=33718	Legislative Lowdown - HUMAN EVENTS	http://www.humanevents.com/article.php?id=20343	Durbin Wrong Again in Pushing Big Government for  Medicare Expenses. by Mike Franc. 04/20/2007. âIf you put the federal government in charge of the Sahara ...  	685		
37	“big government” site:humanevents.com/article.php?id=33718	Ann Coulter, Ronald Reagan, Big Government, Isaiah Washington ...	http://www.humanevents.com/article.php?id=21414	5 Jul 2007 ... Allowing the liberal thought police to force people into rehab to alter how they think and what they say is a twisted Orwellian fate that ...  	685		
