result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
32	“big government” site:huffingtonpost.com/timothy-karr/att-consultant-conjures-e_b_417317.html	n/a	n/a	n/a	n/a		
33	“big government” site:tmcnet.com/usubmit/-washingtons-tech-efforts-felt-show-/2010/01/09/4566630.htm	n/a	n/a	n/a	n/a		
34	“big government” site:tmcnet.com/usubmit/-upi-newstrack-business-/2010/01/09/4566632.htm	n/a	n/a	n/a	n/a		
35	“big government” site:9news.com/money/article.aspx?storyid=130434&catid=344	9NEWS.com | Colorado's Online News Leader | Dealers wary of Cash ...	http://www.9news.com/money/article.aspx?storyid=121765		2		
36	“big government” site:9news.com/money/article.aspx?storyid=130434&catid=344	9NEWS.com | Colorado's Online News Leader | Cash for Clunkers to ...	http://www.9news.com/money/article.aspx?storyid=121670&catid=75		2		
37	“big government” site:pcworld.com/businesscenter/article/186499/court_questions_fcc_authority_to_impose_net_neutrality.html	n/a	n/a	n/a	n/a		
38	“big government” site:timesoftheinternet.com/144974.html	n/a	n/a	n/a	n/a		
39	“big government” site:upi.com/Business_News/2010/01/09/UPI-NewsTrack-Business/UPI-79721263053840	n/a	n/a	n/a	n/a		
40	“big government” site:timesoftheinternet.com/144971.html	n/a	n/a	n/a	n/a		
41	“big government” site:upi.com/Business_News/2010/01/09/Washingtons-tech-efforts-felt-at-show/UPI-18331263053204	n/a	n/a	n/a	n/a		
42	“big government” site:infozine.com/news/stories/op/storiesView/sid/39409	n/a	n/a	n/a	n/a		
43	“big government” site:pcworld.com/article/186489/stream_anything_from_your_pc_to_your_hdtv_wire_free.html	n/a	n/a	n/a	n/a		
44	“big government” site:redorbit.com/news/technology/1807004/court_skeptical_of_fccs_power_to_impose_net_neutrality	n/a	n/a	n/a	n/a		
45	“big government” site:networkworld.com/news/2010/010910-ces-fcc-spectrum-crisis.html	n/a	n/a	n/a	n/a		
46	“big government” site:fednews.com/transcript.htm?id=20100108t2495	Federal News Service - Transcript	http://text.fednews.com/transcript.htm?id=20090909t3596&query=&SLID=c394964a1c447ef69f844b02e8e75e15		4		
47	“big government” site:fednews.com/transcript.htm?id=20100108t2495	Federal News Service - Transcript	http://www.fednews.com/transcript.htm?id=20091210t6817	10 Dec 2009 ... policy is focused on bailouts for big business, big labor and big government . And small businesses -- the job creator for this country. ...www.fednews.com/transcript.htm?id=20091210t6817 - Cached 	4		
48	“big government” site:fednews.com/transcript.htm?id=20100108t2495	Federal News Service - Transcript	http://www.fednews.com/transcript.htm?id=20091102t7367	2 Nov 2009 ... They're getting the same old big-government solutions to  problems that call for creative, modern-day solutions. ...  	4		
49	“big government” site:fednews.com/transcript.htm?id=20100108t2495	Federal News Service - Transcript	http://text.fednews.com/transcript.htm?id=20091102t7481&query=neil&SLID=478e360a00584c175c69b62b2bab2a28	But are they just swapping one big government plan for another? Let's ask Republican Congressman, Tom Price. ... â¢ Registered users, please login to view ...  	4		
50	“big government” site:businessweek.com/ap/financialnews/D9D3C7HO0.htm	n/a	n/a	n/a	n/a		
51	“big government” site:thetimes-tribune.com/news/business/business-briefs-1-9-2010-1.533859	n/a	n/a	n/a	n/a		
52	“big government” site:pottstownmercury.com/articles/2010/01/09/business/srv0000007282223.txt	n/a	n/a	n/a	n/a		
53	“big government” site:auburnpub.com/articles/2010/01/09/ap/hitech/us_tec_comcast_fcc_internet_rules.txt	n/a	n/a	n/a	n/a		
54	“big government” site:themorningsun.com/articles/2010/01/09/business/srv0000007285794.txt	n/a	n/a	n/a	n/a		
55	“big government” site:topnews.us/content/29739-appeals-court-judges-question-fcc-s-authority-censuring-comcast	n/a	n/a	n/a	n/a		
56	“big government” site:montereyherald.com/business/ci_14155861	n/a	n/a	n/a	n/a		
