result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
32	“big government” site:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a	n/a		
33	“big government” site:tmcnet.com/usubmit/-net-neutrality-hot-debate-expected-ces-2010-/2010/01/04/4555770.htm	n/a	n/a	n/a	n/a		
34	“big government” site:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010/?news=123	n/a	n/a	n/a	n/a		
35	“big government” site:businesswire.com/news/home/20100105005615/en	n/a	n/a	n/a	n/a		
36	“big government” site:washingtonpost.com/wp-dyn/content/discussion/2010/01/05/DI2010010502919.html	n/a	n/a	n/a	n/a		
37	“big government” site:prnewswire.com/news-releases/open-internet-coalition-launches-protect-the-net-campaign-at-ces-qr-code-effort-to-show-support-for-fcc-net-neutrality-rule-80920917.html	n/a	n/a	n/a	n/a		
38	“big government” site:thehill.com/blogs/hillicon-valley/technology/74799-ces-coalition-launches-qprotect-the-netq-campaign	n/a	n/a	n/a	n/a		
39	“big government” site:televisionbroadcast.com/article/92726	n/a	n/a	n/a	n/a		
40	“big government” site:blog.telephonyonline.com/unfiltered/2010/01/07/fcc-misses-broadband-plan-deadline-delayed-a-month	n/a	n/a	n/a	n/a		
41	“big government” site:mediabistro.com/baynewser/fcc/gigaom_to_interview_fcc_chairman_genachowski_live_at_10_am_pt_148045.asp	n/a	n/a	n/a	n/a		
42	“big government” site:earth2tech.com/2010/01/05/special-event-fcc-chairman-to-talk-broadband-policy-at-gigaom	n/a	n/a	n/a	n/a		
43	“big government” site:broadcastingcable.com/article/442481-Minority_Women_s_Organizations_Call_on_FCC_to_Ponder_Net_Neutrality_Rules.php	n/a	n/a	n/a	n/a		
44	“big government” site:government.zdnet.com/?p=6518	Sarkozy's Draconian downloading law to pass, then die | ZDNet ...	http://government.zdnet.com/?p=4802	13 May 2009 ... the Draconian President, seeing as how the European Parliament passed a resolution barring just this sort of Big Government intrusion. ...  	13		
45	“big government” site:government.zdnet.com/?p=6518	Should federal government go open source? | ZDNet Government ...	http://government.zdnet.com/?p=4297	If its so obviously useful, why does big government have to do anything? ... Because big government has been a supporter of Microsoft Update victim | 01/26/ ...  	13		
46	“big government” site:government.zdnet.com/?p=6518	President Obama orders overhaul in Top Secret rules | ZDNet ...	http://government.zdnet.com/?p=6694&tag=content;col2	30 Dec 2009 ... just more big government agencies at taxpayer's expense Linux Geek | 12/30/09. HAHAHAHAHAHAHAHAHAHAHAHAHAHA!!!! jmiller1978 | 12/30/09 ...  	13		
47	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | ZDNet.com	http://government.zdnet.com/?cat=106	2009; end of the first decade, in the 21st century. Here are the Top 10 polls voted on by ZDNet readers I've posted in the Government blog. ...  	13		
48	“big government” site:government.zdnet.com/?p=6518	ZDNet Government | ZDNet.com	http://government.zdnet.com/?cat=83	15 Dec 2009 ... Eric Howard Schmidt has been announced as President Obama's new White House Cybersecurity Coordinator. Schmidt will work in collaboration ...  	13		
