result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
21	“big government” site:searchnetworking.techtarget.com/sDefinition/0,,sid7_gci1207194,00.html	n/a	n/a	n/a	n/a		
22	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=18	Screw big government and the OBAMANATION of change.BY teejcee44 on 10/24/2009 at 06:42.  This article is pure corporate propaganda and outright lies. ...  	4		
23	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=4	It's just an excuse for big government to control ISPs. There's no real problem. BY Real American on 10/22/2009 at 10:50 ...thehill.com/.../63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?... - Cached 	4		
24	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=5	Let big government into your livesâ¦asleep at the switch.BY Detter on 10/22/2009 at 12:27. Wow, this woman is an idiot and is obviously in the pockets of ATT ...  	4		
25	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=9	This is simply another big government POWER GRAB because they ~think~ they can get away with it. When is it time to start thinking about the 2nd Amendment? ...  	4		
26	“big government” site:cbc.ca/technology/story/2009/07/02/f-net-neutrality-faq.html	n/a	n/a	n/a	n/a		
27	“big government” site:pbs.org/moyers/moyersonamerica/net/neutrality.html	n/a	n/a	n/a	n/a		
28	“big government” site:wearetheweb.org	n/a	n/a	n/a	n/a		
29	“big government” site:news.bbc.co.uk/2/hi/8315918.stm	n/a	n/a	n/a	n/a		
30	“big government” site:wisegeek.com/what-is-net-neutrality.htm	n/a	n/a	n/a	n/a		
31	“big government” site:cybertelecom.org/ci/neutral.htm	n/a	n/a	n/a	n/a		
